"date","World","Argentina"
2020-03-08,0.457,0.022
2020-03-09,0.457,0.022
2020-03-10,0.457,0.022
2020-03-11,0.457,0.022
2020-03-12,0.457,0.022
2020-03-13,0.457,0.022
2020-03-14,0.457,0.022
2020-03-15,0.789,0.198
2020-03-16,0.789,0.198
2020-03-17,0.789,0.198
2020-03-18,0.789,0.198
2020-03-19,0.789,0.198
2020-03-20,0.789,0.198
2020-03-21,0.789,0.198
2020-03-22,2.005,0.439
2020-03-23,2.005,0.439
2020-03-24,2.005,0.439
2020-03-25,2.005,0.439
2020-03-26,2.005,0.439
2020-03-27,2.005,0.439
2020-03-28,2.005,0.439
2020-03-29,4.8,1.538
2020-03-30,4.8,1.538
2020-03-31,4.8,1.538
2020-04-01,4.8,1.538
2020-04-02,4.8,1.538
2020-04-03,4.8,1.538
2020-04-04,4.8,1.538
2020-04-05,9.42,2.878
2020-04-06,9.42,2.878
2020-04-07,9.42,2.878
2020-04-08,9.42,2.878
2020-04-09,9.42,2.878
2020-04-10,9.42,2.878
2020-04-11,9.42,2.878
2020-04-12,15.398,4.504
2020-04-13,15.398,4.504
2020-04-14,15.398,4.504
2020-04-15,15.398,4.504
2020-04-16,15.398,4.504
2020-04-17,15.398,4.504
2020-04-18,15.398,4.504
2020-04-19,21.662,6.13
2020-04-20,21.662,6.13
2020-04-21,21.662,6.13
2020-04-22,21.662,6.13
2020-04-23,21.662,6.13
2020-04-24,21.662,6.13
2020-04-25,21.662,6.13
2020-04-26,27.231,9.031
2020-04-27,27.231,9.031
2020-04-28,27.231,9.031
2020-04-29,27.231,9.031
2020-04-30,27.231,9.031
2020-05-01,27.231,9.031
2020-05-02,27.231,9.031
2020-05-03,32.388,11.558
2020-05-04,32.388,11.558
2020-05-05,32.388,11.558
2020-05-06,32.388,11.558
2020-05-07,32.388,11.558
2020-05-08,32.388,11.558
2020-05-09,32.388,11.558
2020-05-10,37.269,14.195
2020-05-11,37.269,14.195
2020-05-12,37.269,14.195
2020-05-13,37.269,14.195
